DBN,Printed_Name,BUS,SUBWAY
12X372,Urban Assembly School for Wildlife Conservation,BX17  BX19  BX21  BX36  BX40  BX9  Q44,2  5 to East Tremont Av - WeStFarms Sq
12X388,Pan American International High School at Monroe,BX11  BX27  BX36  BX4  Q44,6 to Elder Av
12X478,The Cinema School,BX11  BX27  BX36  BX4  Q44,6 to Elder Av
12X479,Bronx Career and College Preparatory High School,BX11  BX15  BX17  BX19  BX21  BX27  BX35  BX4  BX5  BX6,2  5 to Intervale Av
12X511,Bronx Envision Academy,BX11  BX17  BX19  BX21  BX36,2  5 to 174 St
12X521,The Metropolitan Soundview High School,BX11  BX27  BX36  BX4  Q44,6 to Elder Av
12X682,Fannie Lou Hamer Freedom High School,BX11  BX19  BX21  BX27  BX35  BX36  BX4,2  5 to Freeman St;  6 to Whitlock Av
12X684,Wings Academy,BX21  BX36  BX40  BX9  Q44,2  5 to East 180 St
12X692,Monroe Academy for Visual Arts & Design,BX11  BX27  BX36  BX4  Q44,6 to Elder Av
13K265,Dr. Susan S. McKinney Secondary School of the Arts,B38  B54  B57  B62  B69,B  Q  R to DeKalb Av
13K350,The Urban Assembly School of Music and Art,B103  B25  B26  B38  B41  B52  B54  B57  B61  B62  B65  B67  B69,2  3  4  5 to Court St;  B  Q to DeKalb Av;  A  C to High St;  R to Jay St - MetroTech;  F to York St
13K412,Brooklyn Community High School of Communication  Arts and Media,B38  B44  B48  B52  B54  B57  B62,G to Classon Av
13K419,Science Skills Center High School for Science  Technology and the Creative Arts,B103  B25  B26  B38  B41  B52  B54  B57  B61  B62  B65  B67  B69,2  3  4  5 to Court St;  B  Q to DeKalb Av;  A  C to High St;  R to Jay St - MetroTech;  F to York St
13K439,Brooklyn International High School,B103  B25  B26  B38  B41  B52  B54  B57  B61  B62  B65  B67  B69,2  3  4  5 to Court St;  B  Q to DeKalb Av;  A  C to High St;  R to Jay St - MetroTech;  F to York St
13K483,The Urban Assembly School for Law and Justice,B103  B25  B26  B38  B41  B45  B52  B54  B57  B61  B62  B63  B65  B67  B69,2  3  4  5 to Court St;  B  Q to DeKalb Av;  G to Hoyt - Schermerhorn Sts;  A  C  F  R to Jay St - MetroTech
13K499,ACORN Community High School,B25  B26  B44  B45  B48  B49  B52  B65  B69,2  3 to Eastern Pkwy - Brooklyn Museum;  C  F to Franklin Av;  S to Park Pl
13K527,Urban Assembly Institute of Math and Science for Young Women,B103  B25  B26  B38  B41  B45  B52  B54  B57  B61  B62  B63  B65  B67  B69,2  3  4  5 to Court St;  B  Q to DeKalb Av;  G to Hoyt - Schermerhorn Sts;  A  C  F  R to Jay St - MetroTech
13K595,Bedford Academy High School,B25  B26  B38  B43  B44  B48  B49  B52,G to Bedford - Nostrand Avs;  C  F  S to Franklin Av;  A to Nostrand Av
13K605,George Westinghouse Career and Technical Education High School,B103  B25  B26  B38  B41  B45  B52  B54  B57  B61  B62  B63  B65  B67  B69,2  3  4  5 to Court St;  B  Q to DeKalb Av;  G to Hoyt - Schermerhorn Sts;  A  C  F  R to Jay St - MetroTech
13K670,Benjamin Banneker Academy,B38  B48  B54  B57  B62  B69,2  3  4  5 to Nevins St; A to Hoyt &amp; Schermerhorn ; B  Q  R to DeKalb Av; C to Lafayette Av ; D  N to Atlantic Av ; F to Jay St - Borough Hall ; G to Clinton - Washington Avs ; M to Lawrence St
13K674,City Polytechnic High School of Engineering  Architecture  and Technology,B103  B25  B26  B38  B41  B45  B52  B54  B57  B61  B62  B63  B65  B67  B69,2  3  4  5 to Court St;  B  Q to DeKalb Av;  G to Hoyt - Schermerhorn Sts;  A  C  F  R to Jay St - MetroTech
14K071,Juan Morel Campos Secondary School,B24  B43  B44  B46  B48  B57  B60  B62  Q54  Q59,G to Broadway;  J  M to Hewes St;  Z to Marcy Av
14K322,Foundations Academy,B15  B38  B43  B44  B46  B47  B48  B54  B57,J  M to Flushing Av;  G to Myrtle - Willoughby Avs
14K454,Green School: An Academy for Environmental Careers,B24  B43  B46  B48  B60  Q54  Q59,L to Grand St;  J  M to Lorimer St;  G to Metropolitan Av
14K474,PROGRESS High School for Professional Careers,B24  B43  B48  B60  Q54  Q59,L to Grand St
14K477,School for Legal Studies,B24  B43  B48  B60  Q54  Q59,L to Grand St
14K478,The High School for Enterprise  Business and Technology,B24  B43  B48  B60  Q54  Q59,L to Grand St
14K488,Brooklyn Preparatory High School,B24  B44  B46  B48  B60  B62  Q54  Q59,L to Bedford Av;  J  M  Z to Marcy Av;  G to Metropolitan Av
14K558,Williamsburg High School for Architecture and Design,B24  B44  B46  B48  B60  B62  Q54  Q59,L to Bedford Av;  J  M  Z to Marcy Av;  G to Metropolitan Av
14K561,Williamsburg Preparatory School,B24  B44  B46  B48  B60  B62  Q54  Q59,L to Bedford Av;  J  M  Z to Marcy Av;  G to Metropolitan Av
14K586,Lyons Community School,B24  B43  B46  B48  B60  Q54  Q59,L to Grand St;  J  M to Lorimer St;  G to Metropolitan Av
14K610,Automotive High School,B43  B48  B62,L to Bedford Av;  G to Nassau Av
14K614,Young Women's Leadership School of Brooklyn,B24  B43  B46  B48  B60  Q54  Q59,L to Grand St;  J  M to Lorimer St;  G to Metropolitan Av
14K632,Frances Perkins Academy,B43  B48  B62,L to Bedford Av;  G to Nassau Av
14K685,El Puente Academy for Peace and Justice,B24  B44  B46  B48  B57  B60  B62  Q54  Q59,G to Broadway;  J  M to Hewes St;  Z to Marcy Av
15K423,Brooklyn Frontiers High School,B103  B25  B26  B38  B41  B45  B52  B54  B57  B61  B62  B63  B65  B67,2  3  4  5 to Borough Hall;  B  Q to DeKalb Av;  G to Hoyt - Schermerhorn Sts;  A  C  F  R to Jay St - MetroTech
15K429,Brooklyn School for Global Studies,B103  B41  B45  B57  B61  B62  B63  B65,F  G to Bergen St;  A  C to Hoyt - Schermerhorn Sts
15K448,Brooklyn Secondary School for Collaborative Studies,B57  B61,F  G to Carroll St
15K462,Secondary School for Law,B61  B63  B67,F  G to 7 Av;  D  R to 9 St
15K463,Secondary School for Journalism,B61  B63  B67,F  G to 7 Av;  D  R to 9 St
15K464,Park Slope Collegiate,B61  B63  B67,F  G to 7 Av;  D  R to 9 St
15K497,School for International Studies,B103  B41  B45  B57  B61  B62  B63  B65,F  G to Bergen St;  A  C to Hoyt - Schermerhorn Sts
15K519,Cobble Hill School of American Studies,B103  B41  B45  B57  B61  B62  B63  B65,F  G to Bergen St;  2  3 to Hoyt St;  A  C to Hoyt - Schermerhorn Sts
15K592,Khalil Gibran International Academy,B103  B25  B38  B41  B45  B52  B54  B57  B61  B62  B63  B65,B  D  N  Q  R to Atlantic Av - Barclays Ctr;  G to Fulton St;  A  C to Hoyt - Schermerhorn Sts;  F to Jay St - MetroTech;  2  3  4  5 to Nevins St
15K656,Brooklyn High School of the Arts,B103  B25  B38  B41  B45  B52  B63  B65,2  3  4  5  B  D  N  Q  R to Atlantic Av - Barclays Ctr;  G to Fulton St;  A to Hoyt - Schermerhorn Sts;  C to Lafayette Av
15K667,Sunset Park High School,B35  B63  B70,D  N  R to 36 St
15K684,Millennium Brooklyn ,B61  B63  B67,F  G to 7 Av;  D  R to 9 St
16K393,Frederick Douglass Academy IV Secondary School,B15  B38  B46  B47  B52  B54,J to Kosciusko St;  M  Z to Myrtle Av
16K455,Boys and Girls High School,B15  B25  B26  B43  B46  B47  B65,A  C to Utica Av
16K498,Brooklyn High School for Law and Technology,B20  B26  B38  B46  B47  B52  B7,J  Z to Gates Av
16K594,Gotham Professional Arts Academy,B15  B25  B26  B45  B46  B47  B7,J to Halsey St;  C to Ralph Av;  A to Utica Av
16K688,Brooklyn Academy of Global Finance,B15  B38  B43  B46  B47  B52  B54,J to Kosciusko St;  M  Z to Myrtle Av
17K122,Pathways in Technology Early College High School (P-TECH),B15  B25  B26  B43  B44  B45  B46  B65,3 to Kingston Av;  C to Kingston - Throop Avs;  A to Utica Av
17K382,Academy for College Preparation and Career Exploration: A College Boa School,B12  B16  B35  B41  B44  B49,2  5  B  Q to Church Av
17K408,Academy of Hospitality and Tourism,B12  B16  B35  B41  B44  B49,2  5  B  Q to Church Av
17K524,International High School at Prospect Heights,B16  B41  B43  B45  B49  B69,S to Botanic Garden;  2  3  4  5 to Botanic Garden;  B  Q to Prospect Park
17K528,The High School for Global Citizenship,B16  B41  B43  B45  B49  B69,S to Botanic Garden;  2  3  4  5 to Botanic Garden;  B  Q to Prospect Park
17K531,The School for Human Rights,B12  B17  B43  B44,2  5 to Winthrop St
17K533,School for Democracy and Leadership,B12  B17  B43  B44,2  5 to Winthrop St
17K537,High School for Youth and Community Development at Erasmus,B12  B16  B35  B41  B44  B49,2  5  B  Q to Church Av
17K539,High School for Service & Learning at Erasmus,B12  B16  B35  B41  B44  B49,2  5  B  Q to Church Av
17K543,Science  Technology and Research Early College High School at Erasmus,B12  B16  B35  B41  B44  B49,2  5  B  Q to Church Av
17K546,High School for Public Service: Heroes of Tomorrow,B12  B17  B43  B44,2  5 to Winthrop St
17K547,Brooklyn Academy of Science and the Environment,B16  B41  B43  B45  B49  B69,S to Botanic Garden;  2  3  4  5 to Botanic Garden;  B  Q to Prospect Park
17K548,Brooklyn School for Music & Theatre,B16  B41  B43  B45  B49  B69,S to Botanic Garden;  2  3  4  5 to Botanic Garden;  B  Q to Prospect Park
17K590,Medgar Evers College Preparatory School,B43  B44  B45  B49,4  S to Botanic Garden;  3 to Nostrand Av;  2  5 to President St
17K600,Clara Barton High School,B41  B43  B45  B49,S to Botanic Garden;  2  3  4  5 to Botanic Garden
17K745,Brooklyn Institute for Liberal Arts,B12  B17  B43  B44,2  5 to Winthrop St
17K751,Academy for Health Careers,B15  B25  B26  B43  B44  B45  B46  B65,3 to Kingston Av;  C to Kingston - Throop Avs;  A to Utica Av
18K563,It Takes a Village Academy,B17  B35  B46  B47  B7  B8,3 to Saratoga Av
18K566,Brooklyn Generation School,B47  B6  B82,2  5 to Flatbush Av - Brooklyn College;  L to Canarsie - Rockaway Pkwy
18K567,Brooklyn Theatre Arts High School,B47  B6  B82,2  5 to Flatbush Av - Brooklyn College;  L to Canarsie - Rockaway Pkwy
18K569,Kurt Hahn Expeditionary Learning School,B17  B35  B46  B47  B7  B8,3 to Saratoga Av
18K576,Victory Collegiate High School,B47  B6  B82,2  5 to Flatbush Av - Brooklyn College;  L to Canarsie - Rockaway Pkwy
18K589,Arts & Media Preparatory Academy,B12  B15  B17  B35  B46  B47  B7,3 to Sutter Av ; 4 to Utica Av
18K617,High School for Innovation in Advertising and Media,B17  B42  B6  B60  B82,L to Canarsie - Rockaway Pkwy
18K629,Cultural Academy for the Arts and Sciences,B17  B35  B46  B47  B7  B8,3 to Saratoga Av
18K633,High School for Medical Professions,B17  B42  B6  B60  B82,L to Canarsie - Rockaway Pkwy
18K637,Academy for Conservation and the Environment,B47  B6  B82,2  5 to Flatbush Av - Brooklyn College;  L to Canarsie - Rockaway Pkwy
18K642,Urban Action Academy,B17  B42  B6  B60  B82,L to Canarsie - Rockaway Pkwy
19K404,Academy for Young Writers,B100  B13  B20  B3  B41  B47  B6  B83  Q8,G to Metropolitan Av; J  M  Z to Marcy Av ; L to Bedford Av
19K409,East New York Family Academy,B15  B20  B6  B83,3 to Van Siclen Av
19K502,FDNY High School for Fire and Life Safety,B14  B15  B20,L to Livonia Av;  3 to Pennsylvania Av;  C to Van Siclen Av
19K504,High School for Civil Rights,B14  B15  B20,L to Livonia Av;  3 to Pennsylvania Av;  C to Van Siclen Av
19K507,Performing Arts and Technology High School,B14  B15  B20,L to Livonia Av;  3 to Pennsylvania Av;  C to Van Siclen Av
19K510,World Academy for Total Community Health High School,B14  B15  B20,L to Livonia Av;  3 to Pennsylvania Av;  C to Van Siclen Av
19K583,Multicultural High School,B13  Q56,J  Z to 75 St - Eldert Ln
19K615,Transit Tech Career and Technical Education High School,B13  B14  Q24  Q7  Q8,A  C to Euclid Av;  J  Z to Norwood Av
19K618,Academy of Innovative Technology,B13  Q56,J  Z to 75 St - Eldert Ln
19K639,Brooklyn Lab School,B13  Q56,J  Z to 75 St - Eldert Ln
19K659,Cypress Hills Collegiate Preparatory School,B13  Q56,J  Z to 75 St - Eldert Ln
19K660,W.H. Maxwell Career and Technical Education High School,B12  B14  B20  B25  B83  Q24  Q56,J to Alabama Av;  L to Atlantic Av;  A to Broadway Jct (Eastern Pkwy);  C to Liberty Av;  Z to Van Siclen Av
19K683,The School for Classics: An Academy of Thinkers  Writers and Performers,B13  B14  B15  B20  Q7  Q8,A  C to Euclid Av
20K445,New Utrecht High School,B1  B4  B64  B8,D to 79 St
20K485,High School of Telecommunication Arts and Technology,B4  B63  B64  B70  B9,N to 59 St;  R to Bay Ridge Av
20K490,Fort Hamilton High School,B16  B4  B70,R to 86 St
20K505,Franklin Delano Roosevelt High School,B11  B6  B8  B9,N to 20 Av;  F to Bay Pkwy - 22nd Av
20K609,Urban Assembly School for Criminal Justice,B11  B16  B35  B67  B8,F to Ditmas Av
21K337,International High School at Lafayette,B1  B3  B4  B6  B64  B82,D to 25 Av;  N to Av U;  N to 86 St
21K344,Rachel Carson High School for Coastal Studies,B1  B36  B4  B68,F to Neptune Av;  Q to Ocean Pkwy;  Q to W 8 St - NY Aquarium -  NY Aquarium
21K348,High School of Sports Management,B1  B3  B4  B6  B64  B82,D to 25 Av;  N to Av U;  N to 86 St
21K410,Abraham Lincoln High School,B1  B36  B4  B68,B to Brighton Beach;  F to Neptune Av;  Q to Ocean Pkwy
21K468,Kingsborough Early College School,B1  B3  B4  B6  B64  B82,D to 25 Av;  N to Av U;  N to 86 St
21K525,Edwa R. Murrow High School,B11  B49  B6  B68  B9,Q to Av M
21K540,John Dewey High School,B1  B4  B82,F to Av X;  D to Bay 50 St;  N to 86 St
21K559,Life Academy High School for Film and Music,B1  B3  B4  B6  B64  B82,D to 25 Av;  N to Av U;  N to 86 St
21K572,Expeditionary Learning School for Community Leaders,B1  B3  B4  B6  B64  B82,D to 25 Av;  N to Av U;  N to 86 St
21K620,William E. Grady Career and Technical Education High School,B1  B36  B4  B49  B68,B  Q to Brighton Beach
21K690,Brooklyn Studio Secondary School,B1  B4  B6  B64  B8  B82,D to 20 Av
22K405,Midwood High School,B103  B11  B41  B44  B49  B6  B8  Q35,2  5 to Brooklyn College - Flatbush Av
22K425,James Madison High School,B100  B2  B31  B44  B49  B7,B  Q to Kings Hwy
22K535,Leon M. Goldstein High School for the Sciences,B1  B4  B44  B49,Q to Brighton Beach
22K555,Brooklyn College Academy,B16  B35  B67  B68,B  Q to Church Av;  F  G to Fort Hamilton Pkwy
23K493,Brooklyn Collegiate: A College Boa School,B12  B14  B25  B45  B47  B60  B7,A  J  L to Broadway Jct (Eastern Pkwy);  C to Rockaway Av
23K514,Frederick Douglass Academy VII High School,B12  B14  B15  B60  B7,3 to Rockaway Av
23K644,Eagle Academy for Young Men II,B12  B20  B25  B45  B47  B60  B7,A  L to Broadway Jct (Eastern Pkwy);  J  Z to Chauncey St;  C to Rockaway Av
23K697,Teachers Preparatory High School,B12  B14  B15  B60  B7,3 to Rockaway Av
24Q264,Academy of Finance and Enterprise,B62  Q100  Q101  Q102  Q32  Q39  Q60  Q66  Q67  Q69,7 to 33 St;  G to Court Sq;  E  M  R to Queens Plaza;  N  Q to Queensboro Plaza
24Q267,High School of Applied Communication,B62  Q100  Q101  Q102  Q32  Q39  Q60  Q66  Q67  Q69,7 to 33 St;  G to Court Sq;  E  M  R to Queens Plaza;  N  Q to Queensboro Plaza
24Q293,Civic Leadership Academy,Q29  Q38  Q53  Q58  Q72,7 to Junction Blvd
24Q296,Pan American International High School,Q29  Q38  Q53  Q58  Q72,7 to Junction Blvd
24Q299,Ba High School Early College Queens,B62  Q100  Q101  Q102  Q32  Q39  Q60  Q66  Q67  Q69,7 to 33 St;  G to Court Sq;  E  M  R to Queens Plaza;  N  Q to Queensboro Plaza
24Q455,Newtown High School,Q29  Q38  Q53  Q58  Q59  Q60  Q72  Q88,E  M  R to Grand Av - Newtown
24Q485,Grover Cleveland High School,B13  B38  B57  Q38  Q39  Q54  Q58,L to DeKalb Av; M to Forest Av
24Q520,Middle College High School at LaGuaia Community College,B24  B62  Q100  Q101  Q32  Q39  Q60  Q67,7 to 33 St;  E  M  R to Queens Plaza
24Q530,International High School at LaGuaia Community College,B24  B62  Q100  Q101  Q32  Q39  Q60  Q67,7 to 33 St;  E  M  R to Queens Plaza
24Q550,High School for Arts and Business,Q23  Q38  Q58  Q88,7 to 103 St; M  R to 63 Drive
24Q560,Robert F. Wagner  Jr. Secondary School for Arts and Technology,B24  B62  Q100  Q101  Q32  Q39  Q60  Q67,7 to 33 St;  G to Court Sq;  E  M  R to Queens Plaza
24Q585,Maspeth High School,Q18  Q38  Q47  Q58  Q67,N/A
24Q600,Queens Vocational and Technical High School,B24  Q32  Q39  Q60  Q67,7 to 40 St
24Q610,Aviation Career & Technical Education High School,B24  Q32  Q39  Q60  Q67,7 to 33 St
25Q252,The Queens School of Inquiry,Q25  Q46  Q64  Q65,7 to Flushing - Main St; F to Parsons Blvd; E  J  Z to Jamaica Center - Parsons/Archer
25Q263,Flushing International High School,Q12  Q13  Q15  Q16  Q17  Q25  Q26  Q27  Q28  Q65,7 to Flushing - Main St
25Q281,East-West School of International Studies,Q17  Q20A  Q25  Q27  Q65,7 to Main St
25Q285,World Journalism Preparatory: A College Boa School,Q12  Q16  Q28  Q31  Q76,7 to Flushing - Main St 
25Q425,John Bowne High School,Q17  Q20A  Q25  Q58  Q88,7 to Flushing - Main St
25Q460,Flushing High School,Q12  Q13  Q15  Q16  Q17  Q19  Q20A  Q25  Q26  Q27  Q28  Q34  Q48  Q50  Q65  Q66,7 to Flushing - Main St
25Q525,Townsend Harris High School,Q17  Q20A  Q25  Q58  Q64  Q88,E  F to Kew Gardens - Union Tpke; 7 to Flushing - Main St
25Q670,Robert F. Kennedy Community High School,Q20A  Q25  Q46  Q64  Q65,E  J  Z to Jamaica Center - Parsons/Archer 
26Q415,Benjamin N. Caozo High School,Q27  Q30,7 to Flushing - Main St; E  J  Z to Sutphin Blvd - Archer Av - JFK Airport
26Q430,Francis Lewis High School,Q17  Q30  Q31  Q88,7 to Flushing - Main St; F to 169 St
26Q435,Martin Van Buren High School,Q1  Q27  Q43  Q46,F to Jamaica - 179 St
26Q495,Bayside High School,Q13  Q28  Q31  Q76,7 to Flushing - Main St; E  J  Z to Sutphin Blvd - Archer Av - JFK Airport; F to 169 St
26Q566,Queens High School of Teaching  Liberal Arts and the Sciences,Q43  Q46,F to Kew Gardens - Union Tpke
27Q260,Frederick Douglass Academy VI High School,Q113  Q22,A to Beach 25 St;  A to Beach 25 St
27Q262,Channel View School for Research,Q22  Q53,A  S to Beach 98 St
27Q302,Queens High School for Information  Research and Technology,Q113  Q22,A to Beach 25 St;  A to Beach 25 St
27Q308,Robert H. Godda High School of Communication Arts and Technology,Q11  Q41  Q7,A to Aqueduct Racetrack
27Q309,Academy of Medical Technology: A College Boa School,Q113  Q22,A to Beach 25 St;  A to Beach 25 St
27Q323,Scholars' Academy,Q22  Q53,A  S to Beach 105 St
27Q324,Rockaway Park High School for Environmental Sustainability,Q22  Q53,A  S to Beach 98 St
27Q351,Rockaway Collegiate High School,Q22  Q53,A  S to Beach 98 St
27Q400,August Martin High School,Q111  Q113  Q6  Q7,A to Rockaway Blvd; E to Sutphin Blvd - Archer Av; F to Parsons Blvd 
27Q475,Richmond Hill High School,Q10  Q24  Q37  Q55  Q56  Q8,J to 111 St;  Z to 121 St
27Q480,John Adams High School,Q11  Q112  Q37  Q41  Q53  Q7,A to 104 St
27Q650,High School for Construction Trades  Engineering and Architecture,Q11  Q24  Q37  Q53  Q56  Q8,J  Z to 104 St - 102nd St
28Q167,Metropolitan Expeditionary Learning School,Q11  Q23  Q53  Q54  Q55,N/A
28Q284,York Early College Academy,Q112  Q113  Q4  Q42  Q60,E  J  Z to Parsons Blvd - Archer Av ; F to 169 St
28Q310,Queens Collegiate: A College Boa School,Q1  Q17  Q2  Q25  Q3  Q30  Q31  Q36  Q43  Q6  Q65  Q76  Q77  Q8,F to 169 St
28Q325,Hillside Arts & Letters Academy,Q1  Q17  Q2  Q25  Q3  Q30  Q31  Q36  Q43  Q6  Q65  Q76  Q77  Q8,F to 169 St
28Q328,High School for Community Leadership,Q1  Q17  Q2  Q25  Q3  Q30  Q31  Q36  Q43  Q6  Q65  Q76  Q77  Q8,F to 169 St
28Q350,Jamaica Gateway to the Sciences,Q1  Q17  Q2  Q25  Q3  Q30  Q31  Q36  Q43  Q6  Q65  Q76  Q77  Q8,F to 169 St
28Q440,Forest Hills High School,Q23  Q38  Q60  Q64,E  M  R to 67 Av
28Q505,Hillcrest High School,Q1  Q110  Q111  Q112  Q113  Q17  Q2  Q20A  Q24  Q25  Q3  Q30  Q36  Q4  Q40  Q41  Q43  Q54  Q6  Q65  Q76  Q77  Q8  Q83  Q9,E  J  Z to Jamaica Center - Parsons/Archer;  F to Parsons Blvd
28Q620,Thomas A. Edison Career and Technical Education High School,Q1  Q17  Q2  Q25  Q30  Q43  Q46  Q65  Q76,F to 169 St
28Q680,Queens Gateway to Health Sciences Secondary School,Q25  Q46  Q65,E to Briarwood - Van Wyck Blvd; F to Parsons Blvd
28Q686,Queens Metropolitan High School,Q11  Q23  Q53  Q54  Q55,J  Z  G  R  V to Woodhaven Blvd; M to Metropolitan Av - Middle Village
28Q690,High School for Law Enforcement and Public Safety,Q113  Q4  Q5  Q6,F to Jamaica 169 St
28Q896,The Young Women's Leadership School  Queens,Q1  Q110  Q111  Q112  Q113  Q17  Q2  Q20A  Q24  Q25  Q3  Q36  Q4  Q40  Q41  Q42  Q43  Q5  Q54  Q56  Q6  Q65  Q76  Q77  Q8  Q83  Q84  Q85  Q9,E  J  Z to Jamaica Center - Parsons/Archer;  F to Parsons Blvd
29Q248,Queens Preparatory Academy,Q3  Q77  Q85,E  J  Z to Jamaica Center - Parsons/Archer; F to Jamaica - 179 St
29Q259,Pathways College Preparatory School: A College Boa School,Q2  Q4  Q77  Q83,F to 169 St
29Q265,Excelsior Preparatory High School,Q3  Q77  Q85,E  J  Z to Jamaica Center - Parsons/Archer; F to Jamaica - 179 St
29Q272,George Washington Carver High School for the Sciences,Q3  Q77  Q85,E  J  Z to Jamaica Center - Parsons/Archer; F to Jamaica - 179 St
29Q283,Preparatory Academy for Writers: A College Boa School,Q3  Q77  Q85,E  J  Z to Jamaica Center - Parsons/Archer; F to Jamaica - 179 St
29Q326,Cambria Heights Academy,Q1  Q110  Q17  Q2  Q3  Q36,F to Jamaica - 179 St
29Q327,Eagle Academy for Young Men III,Q113  Q4  Q42  Q5,N/A
29Q492,Mathematics  Science Research and Technology Magnet High School,Q27  Q4  Q77  Q83  Q84,E  J  Z to Jamaica Center - Parsons/Archer; F to Jamaica - 179 St
29Q498,Humanities & Arts Magnet High School,Q27  Q4  Q77  Q83  Q84,E  J  Z to Jamaica Center - Parsons/Archer; F to Jamaica - 179 St
30Q286,The Young Women's Leadership School  Astoria,M60  Q102  Q18  Q19  Q69,N  Q to 30 Av
30Q301,Academy for Careers in Television and Film,Q101  Q102  Q103  Q104  Q66  Q69,N  Q to 36 Av;  M  R to 36 St
30Q445,William Cullen Bryant High School,Q101  Q104  Q18  Q66,M  R to 46 St;  E to Northern Blvd
30Q450,Long Island City High School,Q102  Q103  Q104  Q18  Q66  Q69,N  Q to Broadway
30Q501,Frank Sinatra School of the Arts High School,Q101  Q102  Q104  Q66,N  Q to 36 Av;  M  R to Steinway St
30Q502,Information Technology High School,B62  Q100  Q101  Q102  Q103  Q32  Q39  Q66  Q67  Q69,F to 21 St - Queensbridge;  7  E  G  M to Court Sq;  R to Queens Plaza;  N  Q to Queensboro Plaza
30Q555,Newcomers High School,B62  Q100  Q101  Q102  Q103  Q32  Q39  Q60  Q66  Q67  Q69,F to 21 St - Queensbridge;  G to Court Sq;  E  M  R to Queens Plaza;  7  N  Q to Queensboro Plaza
30Q575,Academy of American Studies,B62  Q100  Q101  Q102  Q103  Q32  Q39  Q60  Q66  Q67  Q69,F to 21 St - Queensbridge;  G to Court Sq;  E  M  R to Queens Plaza;  7  N  Q to Queensboro Plaza
30Q580,Baccalaureate School for Global Education,Q101  Q102  Q104  Q66,N  Q to 36 Av;  M  R to 36 St
31R047,CSI High School for International Studies,S44  S55  S59  S79-SBS  S89,N/A
31R064,Gaynor McCown Expeditionary Learning School,S44  S55  S59  S79-SBS  S89,N/A
31R080,The Michael J. Petrides School,S53  S61  S66,SIR to Grasmere
31R440,New Dorp High School,S57  S74  S76  S78  S79-SBS,SIR to New Dorp
31R445,Port Richmond High School,S40  S44  S46  S53  S57  S59  S94,N/A
31R450,Curtis High School,S40  S42  S44  S46  S48  S51  S61  S62  S66  S74  S76  S78,SIR to St George
31R455,Tottenville High School,S55  S56  S59  S78,SIR to Huguenot
31R460,Susan E. Wagner High School,S54  S57  S61,N/A
31R600,Ralph R. McKee Career and Technical Education High School,S40  S42  S44  S46  S48  S51  S61  S62  S66  S74  S76  S78,SIR to St George
32K168,Brooklyn School for Math and Research,B13  B20  B26  B38  B52  B54  B60  Q55  Q58,L  M to Myrtle - Wyckoff Avs
32K403,Academy for Environmental Leadership,B13  B20  B26  B38  B52  B54  B60  Q55  Q58,L  M to Myrtle - Wyckoff Avs
32K545,EBC High School for Public Service - Bushwick,B15  B38  B46  B47  B52  B54  B60,M to Central Av;  J to Kosciusko St;  Z to Myrtle Av
32K549,Bushwick School for Social Justice,B13  B20  B26  B38  B52  B54  B60  Q55  Q58,L  M to Myrtle - Wyckoff Avs
32K552,Academy of Urban Planning,B13  B20  B26  B38  B52  B54  B60  Q55  Q58,L  M to Myrtle - Wyckoff Avs
32K554,All City Leadership Secondary School,B13  B26  B38  B52  B54  B60  Q55  Q58,L  M to Myrtle - Wyckoff Avs
32K556,Bushwick Leaders High School for Academic Excellence,B38  B46  B47  B52  B54  B60,M to Central Av;  Z to Gates Av;  J to Kosciusko St
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,M15  M22  M9  M103,2  3  A  C to Fulton St/Broadway/Nassau; 1 to Chambers St; 4  5  6  J  Z to Brooklyn Bridge - City Hall; E to Park Pl; N  Q to Canal St; R to City Hall
02M135,The Urban Assembly School for Emergency Management,M10  M104  M11  M20  M31  M34  M42  M50  M57  M7,1  C  E to 50 St; A to 42 St - Port Authority Bus Terminal; B  D to 7 Av; N  Q  R to 49 St
05M157,The Urban Assembly School for Global Commerce,BX15  BX33  M1  M100  M101  M102  M103  M15  M2  M35  M60  M7  M98,2  3  4  5  6 to 125 St
10X264,Bronx Academy for Software Engineering (BASE),BX9  BX12  BX12-SBS  BX15  BX17  BX19  BX22  BX36  BX55,D to Fordham Rd
10X351,Bronx Collaborative High School,BX1  BX10  BX16  BX22  BX28,4 to Mosholu Pkwy; B or D to Bedford Park
08X349,Bronx River High School,BX21  BX31  BX4  BX40  BX4A  BX5  BX8,6 to Westchester Sq - E Tremont Av
07X259,Health  Education  and Research Occupations (H.E.R.O.) High School,B19,6 to E 143 St - St Mary's St 
08X320,Pelham Lab High School,BX21  BX31  BX4  BX40  BX4A  BX5  BX8,6 to Westchester Sq - E Tremont Av
08X348,Schuylerville Preparatory High School,BX21  BX31  BX4  BX40  BX4A  BX5  BX8,6 to Westchester Sq - E Tremont Av
10X353,World View High School,Bx 1  Bx2   Bx 10  Bx 16  Bx 26  Bx 28  Bx 38,4 to Mosholu Pkwy; B or D to Bedford Park
22K611,Origins High School,B31  B36  B4  B44  BM3  BM4,B  Q to Neck Rd
30Q258,Energy Tech High School,Q101  Q102  Q103  Q104  Q66  Q69,N  Q to 36 Av; R  M to 36 St
29Q243,Institute for Health Professions at Cambria Heights,Q27  Q4  Q77  Q83  Q84,N/A
